ip_dst,ip_len,ip_proto,ip_src,ip_time,ip_ttl,tcp_dport,tcp_flag,tcp_sport
192.168.2.100,1042,6,192.168.2.201,1524372636.588904,64,51967,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.589265,64,23,A,51967
192.168.2.201,52,6,192.168.2.100,1524372636.589577,64,23,FA,51967
192.168.2.100,52,6,192.168.2.201,1524372636.589917,64,51967,FA,23
192.168.2.201,52,6,192.168.2.100,1524372636.590219,64,23,A,51967
192.168.2.201,60,6,192.168.2.100,1524372636.590803,64,23,S,40502
192.168.2.100,60,6,192.168.2.201,1524372636.591108,64,40502,SA,23
192.168.2.201,52,6,192.168.2.100,1524372636.591373,64,23,A,40502
192.168.2.100,60,6,192.168.2.201,1524372636.591845,64,113,S,56886
192.168.2.201,40,6,192.168.2.100,1524372636.592156,64,56886,RA,113
192.168.2.100,64,6,192.168.2.201,1524372636.593489,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.593993,64,23,A,40502
192.168.2.201,55,6,192.168.2.100,1524372636.594381,64,23,PA,40502
192.168.2.100,52,6,192.168.2.201,1524372636.59473,64,40502,A,23
192.168.2.201,61,6,192.168.2.100,1524372636.594979,64,23,PA,40502
192.168.2.100,52,6,192.168.2.201,1524372636.59534,64,40502,A,23
192.168.2.100,67,6,192.168.2.201,1524372636.595683,64,40502,PA,23
192.168.2.201,55,6,192.168.2.100,1524372636.596116,64,23,PA,40502
192.168.2.100,52,6,192.168.2.201,1524372636.596433,64,40502,A,23
192.168.2.201,73,6,192.168.2.100,1524372636.596727,64,23,PA,40502
192.168.2.100,52,6,192.168.2.201,1524372636.597053,64,40502,A,23
192.168.2.100,55,6,192.168.2.201,1524372636.597314,64,40502,PA,23
192.168.2.201,55,6,192.168.2.100,1524372636.597682,64,23,PA,40502
192.168.2.100,121,6,192.168.2.201,1524372636.597979,64,40502,PA,23
192.168.2.201,56,6,192.168.2.100,1524372636.598362,64,23,PA,40502
192.168.2.100,56,6,192.168.2.201,1524372636.598697,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.598991,64,23,A,40502
192.168.2.201,54,6,192.168.2.100,1524372636.599316,64,23,PA,40502
192.168.2.100,54,6,192.168.2.201,1524372636.599683,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.599973,64,23,A,40502
192.168.2.100,62,6,192.168.2.201,1524372636.600267,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.600621,64,23,A,40502
192.168.2.201,55,6,192.168.2.100,1524372636.600877,64,23,PA,40502
192.168.2.100,52,6,192.168.2.201,1524372636.601246,64,40502,A,23
192.168.2.201,54,6,192.168.2.100,1524372636.601615,64,23,PA,40502
192.168.2.100,52,6,192.168.2.201,1524372636.601912,64,40502,A,23
192.168.2.100,54,6,192.168.2.201,1524372636.602244,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.602598,64,23,A,40502
192.168.2.100,54,6,192.168.2.201,1524372636.602862,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.603193,64,23,A,40502
192.168.2.100,67,6,192.168.2.201,1524372636.603444,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.604396,64,23,A,40502
192.168.2.100,54,6,192.168.2.201,1524372636.604728,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.60503,64,23,A,40502
192.168.2.100,68,6,192.168.2.201,1524372636.605368,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.60593,64,23,A,40502
192.168.2.201,60,6,192.168.2.100,1524372636.606359,64,23,PA,40502
192.168.2.100,60,6,192.168.2.201,1524372636.606841,64,40502,PA,23
192.168.2.201,63,6,192.168.2.100,1524372636.60718,64,23,PA,40502
192.168.2.100,63,6,192.168.2.201,1524372636.607479,64,40502,PA,23
192.168.2.201,52,6,192.168.2.100,1524372636.607845,64,23,A,40502
192.168.2.100,62,6,192.168.2.201,1524372636.609175,64,40502,PA,23
